original,replace,grep_pat
" BRI?GHTO?N ([[:digit:]]{1,}) T.*$", BRIGHTON \1 TER,
" BRI?GHTO?N ([[:digit:]]{1,}) W.*$", BRIGHTON \1 WALK,
" PLUMB? ([[:digit:]]{1,3}).*$", PLUMB \1 ST,
" FLA?TLA?NDS? ([[:digit:]]{1,}).*$", FLATLANDS \1 ST,
 KINGS ?BOROU?G?H? ([[:digit:]]{1}).*$, KINGSBOROUGH \1 WALK,
"^(.*) P[[:alpha:]]{1,}GAT ([[:digit:]]{1,2})($|[^[:digit:]].*$)",\1 PAERDEGAT \2 ST,
 H.*HUD.*$, HENRY HUDSON PKWY,
" COM[[:alpha:]]{1,} ?WE[[:alpha:]]{1,} A.*$", COMMONWEALTH AVE,
" COM[[:alpha:]]{1,} ?WE[[:alpha:]]{1,} B.*$", COMMONWEALTH BLVD,
 (LEWIS|LO?U?IS) ((9|NINE?)).*$,LOUIS NINE BLVD,
 FR?.*LEWI.*$, FRANCIS LEWIS BLVD,
 OLD.*TOWN.*$, OLD TOWN RD,
 (E|EAST) NEW YORK$, EAST NEW YORK AVE,
 GCP.*|GRAND CEN.*$, GRAND CENTRAL PKWY,
 MAR.*GARV.*$, MARCUS GARVEY BLVD,
 HUTCH.*[^C].*$, HUTCHINSON RIVER PKWY,
 HARLEM RIV.*$, HARLEM RIVER DR,
 CONEY IS.*$, CONEY ISLAND AVE,
 M.*GAST.*$, MOTHER GASTON BLVD,
 DRY HAR.*$, DRY HARBOR RD,
 AVE OF THE AM.*$, 6 AVE,
 RKWY, ROCKAWAY,
 WASHINGTON SQU?A?R?E? V*$, WASHINGTON SQUARE VILLAGE,
 WE?S?T? ?FARMS? (S|P).*$, WEST FARMS SQ PL,
 WE?S?T? ?FARMS? R.*$, WEST FARMS RD,
 TH?ROGG?S?[[:space:]]NE?C?K? E.*$, THROGGS NECK EXPY,
 TH?ROGG?S?[[:space:]]NE?C?K? B.*$, THROGGS NECK BLVD,
 BRONX RI?VE?R? A.*$, BRONX RIVER AVE,
 BRONX RI?VE?R? R.*$, BRONX RIVER RD,
 AVE?N?U?E? O?F? ?T?H?E? ?AMER.*$, 6 AVE,
 F.*Z(IE|EI)SER.*$, FATHER ZEISER PL,
 KISS?ENA.*$, KISSENA BLVD,
 LEXI.*$, LEXINGTON AVE,
 LITTLE ?NE?CK.*$, LITTLE NECK PKWY,
 OCEAN PRK.*$, OCEAN PKWY,
 OCEAN PRO.*$, OCEAN PROM,
" PAED[[:alpha:]]{1,} ", PAERDEGAT ,
" PAER[[:alpha:]]{1,} ", PAERDEGAT ,
 PARK AV?.*$, PARK AVE,
 S.*TADY .*$,SCHENECTADY AVE,
 STERL.*P.*$, STERLING PL,
 VAN SIC.*$, VAN SICKLEN ST,
 WOODHAVEN BO.*$, WOODHAVEN BLVD,
"^(.*[[:digit:]-]{1,} [[:alpha:]]{1,} R)$",\1D,
